sample_id,species_common_name,species_scientific_name,species_height_max,species_k,age_years,pruning_count,soil_depth,soil_inclination,soil_quality,soil_coverage,annual_rainfall,altitude,avg_temperature,has_fertilization,has_irrigation,nearby_trees_count,avg_neighbor_distance,wire_context,wire_height,fibonacci_modifier,canopy_ratio,soil_modifier,climate_modifier,management_modifier,total_modifier,estimated_height,annual_growth_m,height_next_year,days_to_wire,risk_status,will_reach_wire
44,Fabaceae,Fabaceae sp.,10.0,0.13,0.5,8,1.02,34.93,GOOD,0.27,419.2,718.6,26.8,1,0,10,10.0,URBAN_LOW_VOLTAGE,5.5,0.72,1.0794,0.6252,0.9051,1.08,0.4152,0.27,0.511,0.78,8580,NORMAL,1
45,Algaroba,Prosopis juliflora,13.0,0.16,0.5,3,1.27,8.43,BAD,0.08,719.1,889.7,27.5,1,0,10,7.9,URBAN_LOW_VOLTAGE,5.5,0.8301,1.0794,0.6275,0.9603,1.08,0.5098,0.52,0.978,1.5,3450,NORMAL,1
46,Sabiá,Mimosa caesalpiniifolia,9.0,0.2,35.59,5,0.71,29.57,GOOD,0.69,826.9,59.0,28.3,0,1,7,11.9,URBAN_MEDIUM_VOLTAGE,6.0,0.7244,1.1216,0.357,1.0654,1.1,0.2911,7.87,0.064,7.93,0,CRITICAL,1
47,Algaroba,Prosopis juliflora,18.0,0.09,0.5,0,1.64,39.86,REGULAR,0.84,1209.5,497.9,21.9,0,1,5,15.7,URBAN_LOW_VOLTAGE,5.5,1.0,1.1497,0.5906,1.08,1.1,0.6819,0.54,1.039,1.58,2850,NORMAL,1
48,Craibeira,Tabebuia aurea,14.0,0.11,6.04,5,1.04,18.0,REGULAR,0.81,697.3,833.4,27.5,1,0,6,11.4,URBAN_MEDIUM_VOLTAGE,6.0,0.7244,1.1356,0.4558,0.9563,1.08,0.3295,2.75,0.4,3.15,5400,NORMAL,1
49,Sabiá,Mimosa caesalpiniifolia,9.0,0.2,5.07,5,1.42,13.79,BAD,0.65,484.0,413.5,28.0,0,0,10,12.0,URBAN_LOW_VOLTAGE,5.5,0.7244,1.0794,0.5164,0.9968,1.0,0.3519,2.7,0.428,3.13,6030,NORMAL,1
50,Bauhinia,Bauhinia,8.0,0.14,7.62,0,0.54,27.34,REGULAR,0.03,622.0,519.2,28.7,1,1,7,14.1,URBAN_LOW_VOLTAGE,5.5,1.0,1.1216,0.3404,1.0244,1.18,0.3953,2.75,0.283,3.03,12180,NORMAL,1
51,Angico,Anadenanthera colubrina,18.0,0.09,14.49,4,0.72,5.11,BAD,0.17,773.9,123.6,31.8,0,1,7,4.8,URBAN_LOW_VOLTAGE,5.5,0.7819,1.0152,0.3464,1.0548,1.1,0.2885,5.64,0.317,5.96,0,CRITICAL,1
52,Apuleia,Apuleia leiocarpa,15.0,0.1,0.5,1,1.68,43.54,REGULAR,0.6,867.8,275.5,25.8,0,1,8,5.2,RURAL_DISTRIBUTION,7.0,0.9161,1.004,0.6711,1.0736,1.1,0.6633,0.49,0.931,1.42,5070,NORMAL,1
53,Oiticica,Licania rigida,15.0,0.1,35.67,0,0.91,25.75,REGULAR,0.72,747.9,95.9,29.4,1,0,2,17.5,URBAN_MEDIUM_VOLTAGE,6.0,1.0,1.1919,0.408,1.0496,1.08,0.4573,12.06,0.131,12.19,0,CRITICAL,1
54,Sabiá,Mimosa caesalpiniifolia,5.0,0.25,0.5,8,1.39,8.19,GOOD,0.39,540.1,164.9,23.9,1,1,1,5.6,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.1952,0.9002,1.008,1.18,0.7633,0.46,0.789,1.25,-1,NORMAL,0
55,Juazeiro,Ziziphus joazeiro,10.0,0.12,28.31,8,0.46,28.84,BAD,0.85,334.9,654.2,30.4,0,0,1,2.3,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.1767,0.1388,0.6624,1.0,0.0651,2.47,0.075,2.55,-1,NORMAL,0
56,Bauhinia,Bauhinia,8.0,0.14,9.88,6,1.35,1.36,BAD,0.49,773.3,235.5,29.7,1,0,0,4.1,URBAN_LOW_VOLTAGE,5.5,0.7202,1.22,0.5637,1.0547,1.08,0.4624,3.78,0.265,4.04,8310,NORMAL,1
57,Sabiá,Mimosa caesalpiniifolia,9.0,0.2,27.5,5,1.76,14.37,REGULAR,0.88,488.7,514.3,25.3,1,1,3,3.8,URBAN_LOW_VOLTAGE,5.5,0.7244,1.1154,0.6428,0.9977,1.18,0.5253,8.5,0.05,8.55,0,CRITICAL,1
58,Geoffroea,Geoffroea spinosa,10.0,0.12,27.88,3,1.94,40.6,REGULAR,0.84,798.3,160.2,30.9,0,1,8,9.0,URBAN_LOW_VOLTAGE,5.5,0.8301,1.1075,0.5886,1.0597,1.1,0.5439,8.38,0.102,8.48,0,CRITICAL,1
59,Algaroba,Prosopis juliflora,12.0,0.18,2.75,7,1.32,37.93,BAD,0.42,786.5,399.2,29.1,1,0,9,10.8,URBAN_LOW_VOLTAGE,5.5,0.7199,1.0934,0.4899,1.0573,1.08,0.3823,2.07,0.66,2.73,3600,NORMAL,1
60,Carnauba,Copernicia prunifera,12.0,0.18,0.5,8,0.78,44.51,BAD,0.55,732.8,147.0,27.9,0,0,0,3.8,URBAN_LOW_VOLTAGE,5.5,0.72,1.22,0.2622,1.0466,1.0,0.1976,0.21,0.412,0.62,9330,NORMAL,1
61,Nim,Azadirachta indica,13.0,0.16,7.13,8,0.54,41.91,REGULAR,0.15,591.0,748.9,27.6,1,1,0,7.6,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.22,0.3025,0.9367,1.18,0.2407,3.12,0.373,3.49,5340,NORMAL,1
62,Croton,Croton blanchetianus,5.0,0.25,14.19,0,1.31,11.95,BAD,0.7,935.6,654.8,27.5,1,0,10,5.5,URBAN_LOW_VOLTAGE,5.5,1.0,0.9669,0.4661,0.9936,1.08,0.4495,3.99,0.107,4.1,-1,TO_PRUNE,0
63,Oiticica,Licania rigida,15.0,0.1,1.34,5,1.01,18.58,GOOD,0.37,543.8,602.8,27.2,0,1,8,7.1,URBAN_LOW_VOLTAGE,5.5,0.7244,1.0895,0.6331,0.9281,1.1,0.4438,0.87,0.613,1.48,4800,NORMAL,1
64,Piptadenia,Piptadenia moniliformis,7.0,0.18,30.79,4,1.34,8.65,GOOD,0.25,938.3,450.3,26.8,1,1,1,11.0,URBAN_LOW_VOLTAGE,5.5,0.7819,1.2059,0.9272,1.08,1.18,0.9187,6.96,0.006,6.97,0,CRITICAL,1
65,Angico,Anadenanthera colubrina,18.0,0.09,36.92,2,0.79,12.94,BAD,0.07,813.4,748.6,24.3,1,0,1,11.7,URBAN_LOW_VOLTAGE,5.5,0.9068,1.2059,0.3849,0.9777,1.08,0.3665,12.67,0.173,12.84,0,CRITICAL,1
66,Oiticica,Licania rigida,20.0,0.08,1.14,0,0.47,14.86,REGULAR,0.09,955.9,378.1,26.9,1,1,4,12.2,RURAL_DISTRIBUTION,7.0,1.0,1.1638,0.3044,1.08,1.18,0.3792,0.68,0.577,1.26,6930,NORMAL,1
67,Carnauba,Copernicia prunifera,8.0,0.15,0.5,0,1.85,7.88,GOOD,0.84,827.5,679.1,29.7,0,0,4,10.9,URBAN_LOW_VOLTAGE,5.5,1.0,1.1638,0.7589,0.9803,1.0,0.7272,0.42,0.783,1.2,7980,NORMAL,1
68,Craibeira,Tabebuia aurea,14.0,0.11,20.72,8,1.19,40.02,GOOD,0.77,685.7,119.1,23.8,1,0,0,13.7,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.22,0.5439,1.0371,1.08,0.4386,8.85,0.243,9.09,0,CRITICAL,1
69,Cenostigma,Cenostigma pyramidale,7.0,0.16,9.1,6,1.71,23.19,GOOD,0.36,573.4,26.0,25.9,1,1,4,11.1,URBAN_LOW_VOLTAGE,5.5,0.7202,1.1638,0.9341,1.0147,1.18,0.7874,4.78,0.263,5.04,11820,UNDER_OBSERVATION,1
70,Piptadenia,Piptadenia moniliformis,18.0,0.09,0.5,1,1.09,7.19,BAD,0.45,622.8,826.2,24.3,0,0,7,4.0,URBAN_MEDIUM_VOLTAGE,6.0,0.9161,0.9837,0.4542,0.9426,1.0,0.3551,0.29,0.557,0.85,6390,NORMAL,1
71,Angico,Anadenanthera colubrina,18.0,0.09,31.74,7,1.59,36.09,GOOD,0.69,860.7,712.9,27.3,1,0,9,3.4,URBAN_MEDIUM_VOLTAGE,6.0,0.7199,0.8859,0.7385,0.9864,1.08,0.4906,13.57,0.191,13.76,0,CRITICAL,1
72,Oiticica,Licania rigida,15.0,0.1,25.99,2,0.58,38.45,REGULAR,0.1,445.4,100.0,27.3,1,0,8,8.4,URBAN_LOW_VOLTAGE,5.5,0.9068,1.1075,0.3375,0.9891,1.08,0.3122,8.34,0.205,8.54,0,CRITICAL,1
73,Bauhinia,Bauhinia,8.0,0.14,36.41,0,0.97,36.74,BAD,0.2,433.1,636.3,27.2,0,1,0,6.2,URBAN_LOW_VOLTAGE,5.5,1.0,1.22,0.4025,0.9077,1.1,0.4019,6.97,0.056,7.03,0,CRITICAL,1
74,Sabiá,Mimosa caesalpiniifolia,7.0,0.16,0.5,6,1.06,41.27,REGULAR,0.34,894.6,494.6,28.2,0,1,8,3.6,RURAL_DISTRIBUTION,7.0,0.7202,0.932,0.5449,1.0789,1.1,0.4121,0.23,0.432,0.66,-1,NORMAL,0
75,Cenostigma,Cenostigma pyramidale,7.0,0.16,1.51,4,1.09,32.36,REGULAR,0.48,854.8,324.6,28.3,1,0,3,4.9,URBAN_LOW_VOLTAGE,5.5,0.7819,1.1339,0.5434,1.071,1.08,0.4745,0.76,0.456,1.22,-1,NORMAL,0
76,Oiticica,Licania rigida,12.0,0.18,0.5,6,1.05,24.29,GOOD,0.13,1053.9,528.2,34.7,0,1,2,17.8,URBAN_LOW_VOLTAGE,5.5,0.7202,1.1919,0.7191,1.08,1.1,0.6084,0.64,1.178,1.82,2880,NORMAL,1
77,Algaroba,Prosopis juliflora,7.0,0.18,0.5,2,1.36,19.22,REGULAR,0.04,542.9,355.4,27.4,1,0,4,7.7,URBAN_MEDIUM_VOLTAGE,6.0,0.9068,1.1638,0.8837,1.0086,1.08,0.8532,0.52,0.923,1.44,-1,NORMAL,0
78,Geoffroea,Geoffroea spinosa,10.0,0.12,10.53,2,1.67,41.16,BAD,0.37,636.0,361.8,25.1,0,1,5,3.0,URBAN_MEDIUM_VOLTAGE,6.0,0.9068,1.0231,0.567,1.0272,1.1,0.5352,4.91,0.317,5.23,3090,TO_PRUNE,1
79,Angico,Anadenanthera colubrina,20.0,0.08,0.5,0,1.79,8.47,BAD,0.65,740.7,785.1,23.7,0,1,3,10.6,URBAN_MEDIUM_VOLTAGE,6.0,1.0,1.1778,0.5619,0.9643,1.1,0.586,0.46,0.895,1.35,3690,NORMAL,1
80,Bauhinia,Bauhinia,20.0,0.08,0.86,4,0.91,39.73,REGULAR,0.09,1026.9,759.0,30.4,1,0,9,15.8,URBAN_MEDIUM_VOLTAGE,6.0,0.7819,1.0934,0.5288,0.9936,1.08,0.4212,0.57,0.644,1.21,5070,NORMAL,1
81,Apuleia,Apuleia leiocarpa,8.0,0.15,1.08,6,0.8,8.83,GOOD,0.34,939.9,596.1,28.3,1,1,7,4.3,URBAN_MEDIUM_VOLTAGE,6.0,0.7202,0.9956,0.5298,1.08,1.18,0.4426,0.55,0.479,1.03,-1,NORMAL,0
82,Fabaceae,Fabaceae sp.,10.0,0.13,0.68,8,1.98,43.08,BAD,0.03,957.2,382.9,29.3,0,0,3,9.8,URBAN_LOW_VOLTAGE,5.5,0.72,1.1778,0.6569,1.08,1.0,0.5022,0.43,0.605,1.03,6990,NORMAL,1
83,Bauhinia,Bauhinia,8.0,0.14,42.06,7,1.42,0.71,BAD,0.5,1023.5,820.6,24.8,1,1,4,14.6,URBAN_LOW_VOLTAGE,5.5,0.7199,1.1638,0.5913,0.9936,1.18,0.4879,7.55,0.03,7.58,0,CRITICAL,1
84,Nim,Azadirachta indica,13.0,0.16,25.64,3,0.81,37.26,GOOD,0.59,464.1,506.4,23.6,1,1,9,17.6,RURAL_DISTRIBUTION,7.0,0.8301,1.0934,0.4168,0.9928,1.18,0.3848,10.32,0.16,10.48,0,CRITICAL,1
85,Apuleia,Apuleia leiocarpa,20.0,0.08,2.39,3,1.83,31.15,BAD,0.43,723.7,837.3,28.8,1,0,4,4.2,URBAN_LOW_VOLTAGE,5.5,0.8301,1.0895,0.5755,0.9612,1.08,0.47,1.72,0.675,2.4,3210,NORMAL,1
86,Angico,Anadenanthera colubrina,18.0,0.09,30.63,8,0.86,34.0,GOOD,0.71,774.0,676.0,26.1,0,0,5,11.5,URBAN_LOW_VOLTAGE,5.5,0.72,1.1497,0.419,0.9704,1.0,0.2845,9.78,0.208,9.99,0,CRITICAL,1
87,Cenostigma,Cenostigma pyramidale,7.0,0.16,15.02,4,1.63,20.27,GOOD,0.32,979.7,618.1,27.9,1,0,1,2.9,URBAN_LOW_VOLTAGE,5.5,0.7819,1.1801,0.9645,0.9936,1.08,0.7963,5.97,0.123,6.09,0,CRITICAL,1
88,Bauhinia,Bauhinia,8.0,0.14,7.37,6,0.84,4.79,GOOD,0.85,616.6,110.0,23.3,1,0,0,3.0,URBAN_LOW_VOLTAGE,5.5,0.7202,1.22,0.424,1.0233,1.08,0.3375,2.35,0.261,2.61,15150,NORMAL,1
89,Cenostigma,Cenostigma pyramidale,7.0,0.16,14.94,6,0.32,18.62,GOOD,0.65,506.5,623.1,24.7,1,1,2,2.5,URBAN_LOW_VOLTAGE,5.5,0.7202,1.1356,0.1726,0.9212,1.18,0.1306,1.88,0.106,1.99,-1,NORMAL,0
90,Cenostigma,Cenostigma pyramidale,12.0,0.18,0.5,4,1.91,32.44,REGULAR,0.53,577.2,288.1,30.5,1,1,7,7.0,URBAN_MEDIUM_VOLTAGE,6.0,0.7819,1.1019,0.7337,1.0154,1.18,0.6549,0.69,1.258,1.95,3120,NORMAL,1
91,Croton,Croton blanchetianus,5.0,0.25,6.56,5,1.33,31.29,REGULAR,0.28,453.7,452.1,27.5,1,1,6,7.5,RURAL_DISTRIBUTION,7.0,0.7244,1.1356,0.7363,0.9907,1.18,0.6025,3.14,0.26,3.4,-1,NORMAL,0
92,Juazeiro,Ziziphus joazeiro,12.0,0.18,1.18,8,0.35,32.72,BAD,0.19,1025.0,142.5,25.6,0,1,6,2.7,RURAL_DISTRIBUTION,7.0,0.72,0.9736,0.1486,1.08,1.1,0.1146,0.29,0.239,0.53,25680,NORMAL,1
