species,scientificName,family,genus,decimalLatitude,decimalLongitude,stateProvince,locality,municipality,year,month,day,basisOfRecord,occurrenceStatus,taxonRank,kingdom,phylum,class,order,gbifID,license
Qualea parviflora,Qualea parviflora Mart.,Vochysiaceae,Qualea,-7.275437,-39.453477,Ceará,,,2026,1,11,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6129827420,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Miconia ibaguensis,Miconia ibaguensis (Humb. & Bonpl.) Triana,Melastomataceae,Miconia,-7.332962,-39.411827,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6129835212,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Nymphoides humboldtiana,Nymphoides humboldtiana (Kunth) Kuntze,Menyanthaceae,Nymphoides,-3.907958,-38.431087,Ceará,,,2026,1,17,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,6129839888,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Cyperus ligularis,Cyperus ligularis L.,Cyperaceae,Cyperus,-3.812424,-38.476918,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,6129849559,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Monstera deliciosa,Monstera deliciosa Liebm.,Araceae,Monstera,-3.737161,-40.984826,Ceará,,,2026,1,11,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,6129861746,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Vismia guianensis,Vismia guianensis (Aubl.) DC.,Hypericaceae,Vismia,-7.333122,-39.411656,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6129864926,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Selenicereus undatus,Selenicereus undatus (Haw.) D.R.Hunt,Cactaceae,Selenicereus,-7.377804,-39.387229,Ceará,,,2026,1,15,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,6129900863,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Euphorbia milii,Euphorbia milii Des Moul.,Euphorbiaceae,Euphorbia,-4.692168,-39.449654,Ceará,,,2026,1,24,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6129910257,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Plumbago zeylanica,Plumbago zeylanica L.,Plumbaginaceae,Plumbago,-3.827212,-38.471733,Ceará,,,2026,1,13,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,6129928631,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Chamaecrista hispidula,Chamaecrista hispidula (Vahl) H.S.Irwin & Barneby,Fabaceae,Chamaecrista,-3.827213,-38.470698,Ceará,,,2026,1,13,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,6129954206,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Connarus detersus,Connarus detersus Planch.,Connaraceae,Connarus,-7.36458,-39.330062,Ceará,,,2026,1,12,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,6129957441,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Copernicia prunifera,Copernicia prunifera (Mill.) H.E.Moore,Arecaceae,Copernicia,-3.779996,-38.469736,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Arecales,6129964147,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Ruellia paniculata,Ruellia paniculata L.,Acanthaceae,Ruellia,-3.806367,-38.510084,Ceará,,,2026,1,17,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,6129980313,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Handroanthus impetiginosum,Handroanthus impetiginosum (Mart. ex DC.) Mattos,Bignoniaceae,Handroanthus,-7.332845,-39.411988,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,6129998244,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Heliconia psittacorum,Heliconia psittacorum L.f.,Heliconiaceae,Heliconia,-3.812426,-38.476941,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Zingiberales,6129998605,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Miconia albicans,Miconia albicans (Sw.) Steud.,Melastomataceae,Miconia,-7.333026,-39.411935,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130013342,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Ipomoea pes-caprae,Ipomoea pes-caprae (L.) R.Br.,Convolvulaceae,Ipomoea,-3.518205,-38.878803,Ceará,,,2026,1,8,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Solanales,6130020126,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Sacoila lanceolata,Sacoila lanceolata (Aubl.) Garay,Orchidaceae,Sacoila,-3.661861,-39.604984,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,6130045401,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Miconia alata,Miconia alata (Aubl.) DC.,Melastomataceae,Miconia,-4.263341,-38.920837,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130046551,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Delonix regia,Delonix regia (Bojer ex Hook.) Raf.,Fabaceae,Delonix,-4.693866,-39.440929,Ceará,,,2026,1,25,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,6130048259,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Guzmania monostachia,Guzmania monostachia (L.) Rusby ex Mez,Bromeliaceae,Guzmania,-3.903228,-38.678546,Ceará,,,2026,1,14,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,6130068129,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Rhizophora mangle,Rhizophora mangle L.,Rhizophoraceae,Rhizophora,-4.690198,-37.354433,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130068321,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Leucaena leucocephala,Leucaena leucocephala (Lam.) de Wit,Fabaceae,Leucaena,-4.765263,-39.481049,Ceará,,,2026,1,20,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,6130076251,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Passiflora subrotunda,Passiflora subrotunda Mast.,Passifloraceae,Passiflora,-4.630896,-37.50701,Ceará,,,2026,1,9,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130095426,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Clitoria laurifolia,Clitoria laurifolia Poir.,Fabaceae,Clitoria,-3.827657,-38.471582,Ceará,,,2026,1,13,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,6130107481,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Annona coriacea,Annona coriacea Mart.,Annonaceae,Annona,-4.078901,-38.474079,Ceará,,,2026,1,17,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,6130133227,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Myrcia multiflora,Myrcia multiflora (Lam.) DC.,Myrtaceae,Myrcia,-7.275406,-39.453778,Ceará,,,2026,1,11,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130163024,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Laguncularia racemosa,Laguncularia racemosa (L.) C.F.Gaertn.,Combretaceae,Laguncularia,-3.74835,-38.486927,Ceará,,,2026,1,22,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130171009,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Passiflora laurifolia,Passiflora laurifolia L.,Passifloraceae,Passiflora,-7.275299,-39.453477,Ceará,,,2026,1,11,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130205148,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Miconia albicans,Miconia albicans (Sw.) Steud.,Melastomataceae,Miconia,-7.385527,-39.360511,Ceará,,,2026,1,14,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130206885,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Tabernaemontana catharinensis,Tabernaemontana catharinensis A.DC.,Apocynaceae,Tabernaemontana,-3.745413,-38.575066,Ceará,,,2026,1,9,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,6130219349,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Sphagneticola trilobata,Sphagneticola trilobata (L.) Pruski,Asteraceae,Sphagneticola,-4.264078,-38.921433,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,6130227878,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Myrcia multiflora,Myrcia multiflora (Lam.) DC.,Myrtaceae,Myrcia,-7.277282,-39.452582,Ceará,,,2026,1,11,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130265641,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Euploca polyphylla,Euploca polyphylla (Lehm.) J.I.M.Melo & Semir,Heliotropiaceae,Euploca,-3.81391,-38.48568,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Boraginales,6130270496,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Passiflora tricuspis,Passiflora tricuspis Mast.,Passifloraceae,Passiflora,-7.333175,-39.411806,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130287592,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Tillandsia usneoides,Tillandsia usneoides (L.) L.,Bromeliaceae,Tillandsia,-4.303895,-39.029162,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,6130394761,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Pistia stratiotes,Pistia stratiotes L.,Araceae,Pistia,-6.703351,-38.95932,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,6130398240,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Centropogon cornutus,Centropogon cornutus (L.) Druce,Campanulaceae,Centropogon,-7.365144,-39.329053,Ceará,,,2026,1,12,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,6130399993,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Pistia stratiotes,Pistia stratiotes L.,Araceae,Pistia,-3.747863,-38.487005,Ceará,,,2026,1,22,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,6130415169,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Ipomoea pes-caprae,Ipomoea pes-caprae (L.) R.Br.,Convolvulaceae,Ipomoea,-4.688494,-37.358319,Ceará,,,2026,1,7,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Solanales,6130431518,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Rivina humilis,Rivina humilis L.,Phytolaccaceae,Rivina,-3.660243,-39.605951,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,6130432444,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Richardia grandiflora,Richardia grandiflora (Cham. & Schltdl.) Steud.,Rubiaceae,Richardia,-6.371265,-39.282843,Ceará,,,2026,1,19,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,6130484850,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Miconia crenata,Miconia crenata (Vahl) Michelang.,Melastomataceae,Miconia,-7.333186,-39.411741,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130542832,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Myrcia splendens,Myrcia splendens (Sw.) DC.,Myrtaceae,Myrcia,-7.275501,-39.453606,Ceará,,,2026,1,11,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130574470,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Turnera subulata,Turnera subulata J.E.Sm.,Turneraceae,Turnera,-3.827152,-38.471663,Ceará,,,2026,1,13,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130577691,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Cynophalla flexuosa,Cynophalla flexuosa (L.) J.Presl,Capparaceae,Cynophalla,-4.304112,-39.027568,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Brassicales,6130595828,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Cissus erosa,Cissus erosa (L.) Rich.,Vitaceae,Cissus,-7.386134,-39.358365,Ceará,,,2026,1,14,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Vitales,6130621696,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Philodendron gloriosum,Philodendron gloriosum André,Araceae,Philodendron,-7.333196,-39.411817,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,6130634002,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Protium heptaphyllum,Protium heptaphyllum (Aubl.) Marchand,Burseraceae,Protium,-7.275448,-39.454239,Ceará,,,2026,1,11,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,6130649758,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Sesuvium portulacastrum,Sesuvium portulacastrum (L.) L.,Aizoaceae,Sesuvium,-3.750578,-38.485087,Ceará,,,2026,1,22,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,6130650160,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Astraea lobata,Astraea lobata (L.) Klotzsch,Euphorbiaceae,Astraea,-7.333037,-39.411741,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130655396,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Miconia crenata,Miconia crenata (Vahl) Michelang.,Melastomataceae,Miconia,-4.279346,-38.91955,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130691186,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Aspidosperma pyrifolium,Aspidosperma pyrifolium Mart.,Apocynaceae,Aspidosperma,-4.30443,-39.027427,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,6130709928,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Ricinus communis,Ricinus communis L.,Euphorbiaceae,Ricinus,-3.965246,-38.612322,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130761953,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Annona montana,Annona montana Macfad.,Annonaceae,Annona,-6.371312,-39.290326,Ceará,,,2026,1,7,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,6130769870,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Tillandsia loliacea,Tillandsia loliacea Mart. ex Schult. & Schult.f.,Bromeliaceae,Tillandsia,-7.385793,-39.358859,Ceará,,,2026,1,14,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,6130778886,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Passiflora laurifolia,Passiflora laurifolia L.,Passifloraceae,Passiflora,-4.27932,-38.9196,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130814798,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Aristolochia labiata,Aristolochia labiata Willd.,Aristolochiaceae,Aristolochia,-7.333249,-39.41187,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Piperales,6130834753,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Miconia ibaguensis,Miconia ibaguensis (Humb. & Bonpl.) Triana,Melastomataceae,Miconia,-7.333005,-39.411752,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130841361,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Asclepias curassavica,Asclepias curassavica L.,Apocynaceae,Asclepias,-3.813556,-38.488769,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,6130882558,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Pentalinon luteum,Pentalinon luteum (L.) B.F.Hansen & Wunderlin,Apocynaceae,Pentalinon,-4.765227,-39.480946,Ceará,,,2026,1,7,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,6130934467,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Miconia ibaguensis,Miconia ibaguensis (Humb. & Bonpl.) Triana,Melastomataceae,Miconia,-7.333026,-39.411709,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6130947832,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Vismia guianensis,Vismia guianensis (Aubl.) DC.,Hypericaceae,Vismia,-7.275533,-39.453649,Ceará,,,2026,1,11,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130960861,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Moquilea tomentosa,Moquilea tomentosa Benth.,Chrysobalanaceae,Moquilea,-3.906276,-38.387384,Ceará,,,2026,1,18,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,6130977293,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Antigonon leptopus,Antigonon leptopus Hook. & Arn.,Polygonaceae,Antigonon,-3.730275,-38.562391,Ceará,,,2026,1,16,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,6131013626,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Guazuma ulmifolia,Guazuma ulmifolia Lam.,Malvaceae,Guazuma,-3.832298,-38.470617,Ceará,,,2026,1,13,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,6131014349,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Copernicia prunifera,Copernicia prunifera (Mill.) H.E.Moore,Arecaceae,Copernicia,-3.806367,-38.510084,Ceará,,,2026,1,17,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Arecales,6131041768,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Miconia crenata,Miconia crenata (Vahl) Michelang.,Melastomataceae,Miconia,-7.333292,-39.411881,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,6131075871,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Aechmea bromeliifolia,Aechmea bromeliifolia (Rudge) Baker ex Benth. & Hook.f.,Bromeliaceae,Aechmea,-7.385602,-39.359481,Ceará,,,2026,1,14,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,6131084367,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Catasetum arietinum,Catasetum arietinum F.E.L.Miranda & K.G.Lacerda,Orchidaceae,Catasetum,-7.38541,-39.359642,Ceará,,,2026,1,14,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,6131095412,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Anemopaegma laeve,Anemopaegma laeve DC.,Bignoniaceae,Anemopaegma,-7.210297,-39.733705,Ceará,,,2026,1,15,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,6131095896,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Pavonia malacophylla,Pavonia malacophylla (Link & Otto) Hemsl.,Malvaceae,Pavonia,-7.333186,-39.411699,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,6131101348,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Palicourea colorata,Palicourea colorata (Hoffmanns. ex Willd.) Delprete & J.H.Kirkbr.,Rubiaceae,Palicourea,-7.333079,-39.411656,Ceará,,,2026,1,10,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,6131103690,http://creativecommons.org/licenses/by-nc/4.0/legalcode
